,clust,ID#,cc1_miles,cc2_miles,cc3_miles,Days_since_enroll,Award?,Balance,Bonus_miles,Bonus_trans,Flight_miles_12mo,Flight_trans_12
0,1,0.0,0.0,0.0,0.0,0.8437424644321196,0.0,0.13848623712132863,0.0030194572785839785,0.02631578947368421,0.0,0.0
1,1,0.0002487562189054726,0.0,0.0,0.0,0.8398842536773571,0.0,0.0946959864677841,0.003730938591353767,0.05263157894736842,0.0,0.0
2,1,0.0004975124378109452,0.0,0.0,0.0,0.8478418133590547,0.0,0.2034950023066277,0.0715472549402399,0.10526315789473684,0.0,0.0
3,1,0.0007462686567164179,0.0,0.0,0.0,0.8379551482999759,0.0,0.07270982623404583,0.008676601375241318,0.02631578947368421,0.0,0.0
4,0,0.0009950248756218905,0.75,0.0,0.0,0.8359054738365084,1.0,0.481018606796863,0.7513936790958982,0.6842105263157895,1.0,1.0
5,1,0.0012437810945273632,0.0,0.0,0.0,0.8367494574391127,0.0,0.08079963093956635,0.0,0.0,0.0,0.0
6,2,0.0014925373134328358,0.5,0.0,0.0,0.8430190499156016,0.0,0.41784530216823007,0.4769007179887638,0.6578947368421053,0.0,0.0
7,1,0.0017412935323383085,0.0,0.0,0.0,0.8362671810947673,1.0,0.10262832538828233,0.09110431444003383,0.10526315789473684,0.3215434083601286,0.4
8,0,0.001990049751243781,0.5,0.5,0.0,0.8374728719556306,1.0,1.0,0.03042016442159606,1.0,1.0,1.0
9,0,0.002238805970149254,0.5,0.0,0.0,0.835423197492163,1.0,0.5159956942949407,0.4932821413852194,0.7368421052631579,1.0,1.0
10,1,0.0024875621890547263,0.25,0.0,0.0,0.8387991319025802,0.0,0.1972800246040289,0.12629660961801262,0.2631578947368421,0.0,0.0
11,2,0.002736318407960199,1.0,0.0,0.0,0.8345792138895587,1.0,0.4749660156850684,1.0,0.5,0.0,0.0
12,1,0.0029850746268656717,0.25,0.0,0.0,0.8345792138895587,0.0,0.2134743964324158,0.19348821066788138,0.5263157894736842,0.0,0.0
13,1,0.003233830845771144,0.0,0.0,0.0,0.8338557993730408,0.0,0.21207196678456097,0.05653673456107243,0.15789473684210525,0.0,0.0
14,1,0.003482587064676617,0.0,0.0,0.0,0.8331323848565227,0.0,0.08684238043979702,0.0,0.0,0.0,0.0
15,2,0.0037313432835820895,0.75,0.0,0.0,0.8331323848565227,1.0,0.1402183607565739,0.8579770503893625,0.39473684210526316,0.0,0.0
16,2,0.003980099502487562,0.75,0.0,0.0,0.8328912466843501,1.0,0.2553406120252191,0.8496648662718813,0.42105263157894735,0.0,0.0
17,1,0.004228855721393035,0.0,0.0,0.0,0.8322884012539185,1.0,0.06868460710441335,0.07446259300232098,0.13157894736842105,0.0,0.0
18,2,0.004477611940298508,0.5,0.0,0.0,0.8320472630817458,1.0,0.45012086729201906,0.4756165809852281,0.4473684210526316,0.0,0.0
19,1,0.00472636815920398,0.5,0.0,0.0,0.8312032794791415,1.0,0.11492049823158543,0.1812889091342921,0.13157894736842105,0.0,0.0
20,0,0.004975124378109453,1.0,0.0,0.0,0.8312032794791415,1.0,0.5933310779640166,1.0,0.6052631578947368,0.3215434083601286,0.8
21,0,0.0052238805970149255,0.0,0.0,0.0,0.8312032794791415,1.0,0.9137001383976626,0.23079759658141905,0.42105263157894735,1.0,1.0
22,0,0.005472636815920398,0.0,0.0,0.0,0.8297564504461056,0.0,0.1012898662155928,0.0598685494891651,0.2894736842105263,1.0,1.0
23,1,0.0057213930348258705,0.0,0.0,0.0,0.8297564504461056,0.0,0.32612640319852376,0.04395566256697252,0.2894736842105263,0.19292604501607716,0.4
24,0,0.005970149253731343,0.0,0.0,0.0,0.9561128526645768,0.0,1.0,0.0698466410706926,0.5526315789473685,0.9003215434083601,1.0
25,1,0.006218905472636816,0.0,0.0,0.0,0.9551482999758861,0.0,0.10198862063662925,0.023860653781913623,0.10526315789473684,0.0,0.0
26,0,0.006467661691542288,0.0,0.0,0.0,0.9543043163732818,0.0,0.09113824388743656,0.021292379774842194,0.05263157894736842,1.0,0.8
27,1,0.006716417910447761,0.0,0.0,0.0,0.9539426091150229,0.0,0.043440873443026294,0.0,0.0,0.0,0.0
28,2,0.006965174129353234,0.5,0.0,0.0,0.9530986255124186,1.0,0.29408211594648626,0.5860523632892995,0.5263157894736842,0.12861736334405144,0.4
29,1,0.007213930348258706,0.0,0.0,0.0,0.951772365565469,1.0,0.09458280793479933,0.08077915880349668,0.21052631578947367,0.6430868167202572,0.4
30,1,0.007462686567164179,0.5,0.0,0.0,0.9505666747046058,0.0,0.8755392895586652,0.3608945576017874,0.34210526315789475,0.0,0.0
31,1,0.007711442786069652,0.0,0.0,0.0,0.9497226911020015,0.0,0.049311394740888824,0.0,0.0,0.0,0.0
32,2,0.007960199004975124,0.75,0.0,0.0,0.9488787074993972,0.0,1.0,0.7295980564412919,0.6052631578947368,0.0,0.0
33,1,0.008208955223880597,0.0,0.0,0.0,0.9483964311550519,0.0,0.08880578194679378,0.0017353202750482635,0.02631578947368421,0.0,0.0
34,1,0.00845771144278607,0.0,0.0,0.0,0.9480347238967929,0.0,0.21568875903429185,0.0,0.0,0.0,0.0
35,0,0.008706467661691543,0.75,0.0,0.0,0.9480347238967929,1.0,0.6089940027679532,0.8775861694974079,0.6052631578947368,1.0,1.0
36,0,0.008955223880597015,0.0,0.0,0.0,0.9475524475524476,1.0,0.11412824850069199,0.011279581787813714,0.10526315789473684,0.707395498392283,1.0
37,0,0.009203980099502488,0.0,0.0,0.0,0.9475524475524476,0.0,0.33789204982315857,0.006073620962668923,0.05263157894736842,0.45016077170418006,0.8
38,2,0.00945273631840796,0.5,0.0,0.0,0.9467084639498433,1.0,0.2951991388589882,0.48377258627795494,0.4473684210526316,0.0,0.0
39,1,0.009701492537313432,0.0,0.0,0.0,0.945864480347239,1.0,0.010707673381516224,0.0,0.0,0.0,0.0
40,0,0.009950248756218905,0.0,0.0,0.0,0.9462261876054979,0.0,0.17033861294787023,0.030368104813344614,0.10526315789473684,0.6430868167202572,0.4
41,2,0.010199004975124378,0.75,0.0,0.0,0.9450204967446347,1.0,0.05152083653698293,0.6610529055768856,0.6842105263157895,0.0,0.0
